Date,Name,Description_1,Description_2
"Jan 24, 2025",Vaazha - Biopic of a Billion Boys (2024),Horror Sci-Fi Thriller,R. Sarathkumar Sathyaraj Megha Akash Murli Sharma
"Jan 26, 2025",Mazhai Pidikatha Manithan (2024),Action Drama Thriller,Pari Elavazhagan Ammu Abhirami Chetan Srikrishna Dayal
"Feb 14, 2025",Jama (2024),Action Adventure Drama,Mrinal Kulkarni Pravin Tarde Sameer Dharmadhikari Manoj Joshi
"Mar 12, 2025",Sant Dnyaneshwaranchi Muktaai (2024),Comedy Horror,Blake Lively Justin Baldoni Jenny Slate Hasan Minhaj
"Mar 14, 2025",It Ends with Us (2024),Action,Duniya Vijay Cockroach Sudhi Dragon Manju Rangayana Raghu
"Apr 10, 2025",Bheema (2024),Biography,Kshitish Date Makarand Date Prasad Oak Snehal Tarde
"Apr 18, 2025",Dharmaveer 2 (2024),Comedy Drama,Vishwanath Asaigoli Harish Bangera Gopinath Bhat Sithesh C. Govind
"May 01, 2025",Idu Entha Lokavayya (2024),Comedy,Rajith CR Gayathry Mayoora Jaise Jose Shalil Kallur
"May 23, 2025",CICADA (2024),Drama,Bhavana Renji Panicker Aditi Ravi Divya M. Nair
"Jun 06, 2025",Hunt (2024),Crime Drama,Raima Sen Vinay Pathak Salim Diwan
"Jun 27, 2025",Aliya Basu Gayab Hai (2024),Fantasy Thriller,Isabela Merced Cailee Spaeny Archie Renaux David Jonsson
"Jul 11, 2025",Alien: Romulus (2024),Drama,John Abraham Sharvari Wagh Abhishek Banerjee Tamannaah Bhatia
"Jul 18, 2025",Vedaa (2024),Horror Mystery Sci-Fi,Vikram Parvathy Thiruvothu Malavika Mohanan Pasupathy
